Con toda la información verificada, aquí tienes el resumen completo con la columna especial sobre votaciones legislativas solicitada:

---

## 🔴 Candidatos al Senado – Partido Liberal Colombiano 2026

**⚠️ Lista ABIERTA (voto preferente):** Marca el logo del partido **y** el número del candidato de tu preferencia en el tarjetón azul el **8 de marzo de 2026**.

El Partido Liberal tiene actualmente 13 senadores, pero solo 6 repiten candidatura. Los que no vuelven representaban aproximadamente 550.000 votos, muchos de los cuales serán endosados a nuevas candidaturas en la lista.

---

### 🗂️ Contexto: posición del Partido Liberal frente a las grandes reformas del gobierno Petro (2022–2026)

El Partido Liberal actuó de manera **dividida** en los grandes debates legislativos, lo que refleja la tensión interna entre el ala **gavirista** (ligada al expresidente César Gaviria, más crítica del gobierno Petro) y el ala **petrista** (que apoyó las reformas del gobierno):

Las bancadas del Partido Liberal votaron en contra de la reforma a la salud en dos oportunidades (2024 y 2025), junto con Centro Democrático, MIRA, La U, Conservadores y ASI, alegando falta de aval financiero, insostenibilidad fiscal y riesgos de estatización.

En la reforma pensional, nueve senadores liberales almorzaron en la Casa de Nariño con el presidente Petro y terminaron apoyando el proyecto, mientras que cuatro —Mauricio Gómez Amín, Lidio García, Miguel Ángel Pinto y Juan Pablo Gallo— decidieron no asistir y se mantuvieron más críticos.

La reforma laboral —en su versión definitiva— fue aprobada en plenaria del Senado con 59 votos a favor y 16 en contra el 20 de junio de 2025, después de que la primera versión fuera hundida en la Comisión Séptima.

---

### Candidatos principales con mayores opciones de curul

| No. | Nombre Completo | Departamento/Región | 3 Ideas Principales | Posición votaciones 2022–2026 |
|-----|-----------------|---------------------|----------------------|-------------------------------|
| **1** | Lidio García Turbay | Bolívar (Cartagena) | Gobernabilidad e institucionalidad; infraestructura y desarrollo regional; gestión legislativa desde la presidencia del Congreso | **🔴 Crítico de Petro:** No asistió al almuerzo con Petro en la reforma pensional; su bancada hundió la reforma a la salud dos veces. Actualmente: busca distancia del gobierno para 2026. *Nota: investigado por la Corte Suprema por presuntos $3.000M en proyecto de alcantarillado en Cartagena* |
| **2** | Fabio Raúl Amín Saleme | Córdoba (Montería) | Defensa del sistema de salud con EPS; desarrollo agropecuario; agenda regional costeña | **🟡 Mixto:** Asistió al almuerzo con Petro previo a la reforma pensional (a favor); pero hizo parte de los que coordinaron la ponencia negativa a la reforma a la salud. Actualmente: defiende el modelo de EPS. |
| **3** | Richard Aguilar Villa | Santander (Bucaramanga) | Reinserción política tras condena por corrupción (pagó); desarrollo de Santander; reactivación económica | **⚪ Nuevo ingreso 2026:** No estuvo en el Senado 2022-2026 (fue gobernador de Santander, condenado y cumplida la pena). Sin votaciones en el período. Actualmente: busca rehabilitación política. |
| **4** | Aliex Yirley Vargas | Norte de Santander (Cúcuta) | Desarrollo regional; agenda de mujer y familia; respaldo del alcalde de Cúcuta Jorge Acevedo (su esposo) | **⚪ Nueva candidata 2026:** No estuvo en el Senado 2022-2026. Sin votaciones en el período. Actualmente: plataforma de maquinaria cucuteña. |
| **5** | Yesid Eduardo Pulgar | Cesar | Desarrollo del Caribe; continuidad de la maquinaria del Cesar (hermano del senador Eduardo Pulgar) | **⚪ Nuevo candidato 2026:** No estuvo en el Senado. Actualmente: recibe endoso de votos de Claudia Pérez (senadora que no repite). |
| **6** | Gersso Vargas ("Señor Biter") | Nacional (influencer) | Divulgación política y transparencia; comunicación política ciudadana; renovación generacional | **⚪ Nuevo candidato 2026:** Sin trayectoria legislativa previa. Actualmente: perfil de opinión digital. |
| **7** | Laura Ester Fortich Segovia | Bolívar (Cartagena) | Protección a la niñez y familia; desarrollo social; políticas de equidad para el Caribe | **🟢 A favor de Petro:** Asistió al almuerzo con Petro y apoyó la reforma pensional. Votó a favor de la reforma laboral. Actualmente: reafirma agenda social progresista. |
| **8** | Karina Espinosa Castaño | Atlántico (Barranquilla) | Salud pública y derechos de la mujer; educación; desarrollo del Caribe | **🟢 A favor de Petro:** Asistió al almuerzo con Petro y apoyó la reforma pensional. Votó a favor de la reforma laboral. Actualmente: defiende reformas sociales. |
| **9** | Horacio José Serpa Moncada | Santander (Bucaramanga) | Tradición liberal; desarrollo de Santander; retorno a la política (hijo del caudillo Horacio Serpa) | **⚪ Nuevo candidato 2026:** No estuvo en el Senado 2022-2026. Sin votaciones en el período. Actualmente: capitaliza herencia política del liberalismo santandereano. |
