Con la lista completa de los 100 candidatos obtenida y los perfiles de las figuras principales verificados, aquí tienes el resumen completo:

---

## 🟡 Candidatos al Senado – Coalición Cambio Radical – ALMA 2026

**⚠️ Lista ABIERTA (voto preferente):** Debes marcar el logo del partido **y** el número del candidato de tu preferencia. Si solo marcas el logo, el voto va a la lista en general pero no impulsa a ningún candidato específico.

La lista está conformada por **100 candidatos** en coalición con Colombia Justa Libres (CJL), la Alianza Democrática Amplia (ADA) y la Liga Gobernantes Anticorrupción (LIGA). La encabeza el senador Carlos Fernando Motoa y tiene como cierre de lista a Rodolfo José Hernández, hijo del fallecido excandidato presidencial del mismo nombre.

Ante la ausencia de Germán Vargas Lleras —jefe natural del partido, quien no aparece en el tarjetón por achaques de salud— seis de los once senadores actuales no buscarán reelección, lo que le quita a la lista cerca de 650.000 votos de base.

---

### Agenda programática del partido

La agenda legislativa se orienta a devolver la seguridad, fortalecer la economía, proteger el sistema de salud, combatir la corrupción y garantizar la equidad.

---

### Los 16 candidatos con más opciones de curul (según La Silla Vacía y medios)

| No. | Nombre Completo | Departamento/Región | 3 Ideas Principales | Partido |
|-----|-----------------|---------------------|----------------------|---------|
| **1** | Carlos Fernando Motoa Solarte | Valle del Cauca (Palmira) | Protección del sistema de salud sin estatizarlo; vivienda como motor económico; seguridad y orden público | CR |
| **2** | Beatriz Lorena Ríos Cuéllar | Nacional | Familia y valores cristianos; educación de calidad; agenda social | CJL |
| **3** | Selmen David Arana Cano | Bolívar | Desarrollo regional Caribe; apoyo a la casa Char; infraestructura | CR |
| **4** | Carlos Mario Farelo Daza | Magdalena | Desarrollo del Caribe; gestión regional; oposición al gobierno Petro | CR |
| **5** | Didier Lobo Chinchilla | Atlántico / Caribe | Control político; defensa institucional; reactivación económica | CR |
| **6** | Lina María Garrido Martín | Arauca | Oposición firme al gobierno Petro (conocida por su discurso en el Congreso); seguridad; apoyo a Abelardo de la Espriella para presidencia | CR |
| **7** | Edgardo Miguel Espitia Cabrales | Córdoba (Montería) | Desarrollo del sur de Córdoba; seguridad; respaldo del alcalde de Montería | CR |
| **8** | José Luis Pérez Oyuela | Valle del Cauca | Reactivación económica; salud; agenda regional vallecaucana | CR |
| **9** | Carlos Hernán Rodríguez Naranjo | Valle del Cauca (Cali) | Productividad urbana; anticorrupción; experiencia como exconcejal de Cali | CR |
| **10** | José Nicolás Gómez Medina | Cundinamarca | Respaldo del gobernador Jorge Emilio Rey; desarrollo regional; gestión territorial | CR |
| **12** | Nelson Javier López Rodríguez | Regional | Liderazgo comunitario; derechos sociales; desarrollo local | CR |
| **13** | Edgar Jesús Díaz Contreras | Norte de Santander | Control político; seguridad fronteriza; desarrollo regional | CR |
| **14** | César Augusto Lorduy Maldonado | Atlántico (Barranquilla) | Experiencia como exmagistrado del CNE; reforma electoral; defensa institucional *(señalado periodísticamente en un caso de 1979; ha negado irregularidades)* | CR |
| **19** | Luis Herlindo Mendieta Ovalle | Nacional | Derechos de exsecuestrados y víctimas; seguridad; memoria histórica | CJL |
| **23** | Gerson Luis Pérez Altamiranda | Atlántico | Representación Caribe; casa Char; reactivación económica | CR |
| **100** | Rodolfo José Hernández | Santander (Bucaramanga) | Anticorrupción (herencia política de su padre); austeridad estatal; transparencia | LIGA |

---

### Lista completa por partido dentro de la coalición (renglones 1–55 confirmados)

| No. | Nombre | Partido |
|-----|--------|---------|
| 1 | Carlos Fernando Motoa Solarte | CR |
| 2 | Beatriz Lorena Ríos Cuéllar | CJL |
| 3 | Selmen David Arana Cano | CR |
| 4 | Carlos Mario Farelo Daza | CR |
| 5 | Didier Lobo Chinchilla | CR |
| 6 | Lina María Garrido Martín | CR |
| 7 | Edgardo Miguel Espitia Cabrales | CR |
| 8 | José Luis Pérez Oyuela | CR |
| 9 | Carlos Hernán Rodríguez Naranjo | CR |
| 10 | José Nicolás Gómez Medina | CR |
| 11 | Paulino Riascos Riascos | ADA |
| 12 | Nelson Javier López Rodríguez | CR |
| 13 | Edgar Jesús Díaz Contreras | CR |
| 14 | César Augusto Lorduy Maldonado | CR |
| 15 | Pablo Soler García | CR |
| 16 | Camilo Andrés Larios Álvarez | LIGA |
| 17 | Adolfo León Cabrera Bastidas | CR |
| 18 | Jorge Iván Cárdenas Giraldo | CR |
| 19 | Luis Herlindo Mendieta Ovalle | CJL |
| 20 | Carlos Enrique Forero Sánchez | CJL |
| 21 | Álvaro Miguel Navas Patrón | CR |
| 22 | Elkin Hernando Salcedo Santos | CJL |
| 23 | Gerson Luis Pérez Altamiranda | CR |
| 24 | Óscar Hernández Gualdrón | CR |
| 25 | José Rodrigo Arévalo Jiménez | CJL |
| 26 | María Fernanda Ortiz Mora | CJL |
| 27 | Andrés Felipe Cano Sterling | CJL |
| 28 | Karina Nayed Ariza Quiróz | CJL |
| 29 | Jaime Andrés Carreño | CJL |
| 30 | Jonis Darío Echeverri Ramírez | LIGA |
| 31 | Fernando Toloza Colorado | LIGA |
| 32 | Blanca Nubia Tafur García | CR |
| 33 | Milton Fernando Cuervo Pérez | LIGA |
| 34 | Mallerly Katherine Martínez Linares | CR |
| 35 | Luis Albeiro Torres Soto | CJL |
| 36 | Mauricio Bejarano Arango | CJL |
| 37 | Hilda Rocío Giraldo Cardona | CR |
| 38 | Olga Inés Rubiano Correa | LIGA |
| 39 | Lewis Eduardo Jiménez García | CR |
| 40 | José María Villanueva Ramírez | CJL |
| 41 | Rafael Torres Martínez | ADA |
| 42 | Mauricio Morris Otálora | CJL |
| 43 | Ana Cecilia Aguirre Buitrago | CR |
| 44 | Dora María Rodríguez Tobar | CJL |
| 45 | Orlando Basto Triana | CJL |
| 46 | Fabián de Jesús Higinio Giraldo | CR |
| 47 | Dumar Aponte Ramírez | LIGA |
| 48 | Gladis Arias Jiménez | CR |
| 49 | Gerardo Sotomonte Angulo | ADA |
| 50 | Jorge Caro Martínez | CJL |
| 51 | Eliecer Quiñones Angulo | LIGA |
| 52 | Francisco Alvarado Niño | LIGA |
| 53 | Grace Milena Granados Hernández | CJL |
| 54 | William Fernando Estupiñán García | CJL |
| 55 | Hugo Enrique García Bohórquez | CR |
| **100** | Rodolfo José Hernández | LIGA |

*(Los renglones 56–99 completarán la lista con candidatos de los cuatro partidos de la coalición; la lista oficial completa está disponible en la Registraduría Nacional.)*

---

